Reflectivity signal measured in H2O ice compressed at 84 GPa
Measurement conducted by Sergey Nikitin in May 2014
Time (ns)	Amplitude (V)
3.022535e-01 	 6.484300e-05
3.032958e-01 	 6.492400e-05
3.043380e-01 	 6.506900e-05
3.053803e-01 	 6.521600e-05
3.064225e-01 	 6.538200e-05
3.074648e-01 	 6.552700e-05
3.085070e-01 	 6.564400e-05
3.095493e-01 	 6.561900e-05
3.105915e-01 	 6.555400e-05
3.116338e-01 	 6.547300e-05
3.126761e-01 	 6.531100e-05
3.137183e-01 	 6.509900e-05
3.147606e-01 	 6.496400e-05
3.158028e-01 	 6.488400e-05
3.168451e-01 	 6.490100e-05
3.178873e-01 	 6.502600e-05
3.189296e-01 	 6.518300e-05
3.199718e-01 	 6.534100e-05
3.210141e-01 	 6.551200e-05
3.220563e-01 	 6.561600e-05
3.230986e-01 	 6.567800e-05
3.241408e-01 	 6.559000e-05
3.251831e-01 	 6.549800e-05
3.262253e-01 	 6.533300e-05
3.272676e-01 	 6.512500e-05
3.283099e-01 	 6.497900e-05
3.293521e-01 	 6.488500e-05
3.303944e-01 	 6.486700e-05
3.314366e-01 	 6.492800e-05
3.324789e-01 	 6.504000e-05
3.335211e-01 	 6.521900e-05
3.345634e-01 	 6.540500e-05
3.356056e-01 	 6.558100e-05
3.366479e-01 	 6.570600e-05
3.376901e-01 	 6.580700e-05
3.387324e-01 	 6.576100e-05
3.397746e-01 	 6.560100e-05
3.408169e-01 	 6.543600e-05
3.418591e-01 	 6.524200e-05
3.429014e-01 	 6.511400e-05
3.439437e-01 	 6.500300e-05
3.449859e-01 	 6.495200e-05
3.460282e-01 	 6.500600e-05
3.470704e-01 	 6.507100e-05
3.481127e-01 	 6.526500e-05
3.491549e-01 	 6.549000e-05
3.501972e-01 	 6.566700e-05
3.512394e-01 	 6.579200e-05
3.522817e-01 	 6.578500e-05
3.533239e-01 	 6.571200e-05
3.543662e-01 	 6.558700e-05
3.554084e-01 	 6.543900e-05
3.564507e-01 	 6.523600e-05
3.574930e-01 	 6.505800e-05
3.585352e-01 	 6.495500e-05
3.595775e-01 	 6.501400e-05
3.606197e-01 	 6.507400e-05
3.616620e-01 	 6.525400e-05
3.627042e-01 	 6.546300e-05
3.637465e-01 	 6.566100e-05
3.647887e-01 	 6.580400e-05
3.658310e-01 	 6.590400e-05
3.668732e-01 	 6.597100e-05
3.679155e-01 	 6.587700e-05
3.689577e-01 	 6.569300e-05
3.700000e-01 	 6.550800e-05
3.710422e-01 	 6.528600e-05
3.720845e-01 	 6.509800e-05
3.731268e-01 	 6.497500e-05
3.741690e-01 	 6.489900e-05
3.752113e-01 	 6.498600e-05
3.762535e-01 	 6.511200e-05
3.772958e-01 	 6.531700e-05
3.783380e-01 	 6.550500e-05
3.793803e-01 	 6.568700e-05
3.804225e-01 	 6.588100e-05
3.814648e-01 	 6.595300e-05
3.825070e-01 	 6.593500e-05
3.835493e-01 	 6.581700e-05
3.845915e-01 	 6.564900e-05
3.856338e-01 	 6.543900e-05
3.866761e-01 	 6.521400e-05
3.877183e-01 	 6.500700e-05
3.887606e-01 	 6.491000e-05
3.898028e-01 	 6.488600e-05
3.908451e-01 	 6.493000e-05
3.918873e-01 	 6.504100e-05
3.929296e-01 	 6.525900e-05
3.939718e-01 	 6.553800e-05
3.950141e-01 	 6.576200e-05
3.960563e-01 	 6.592600e-05
3.970986e-01 	 6.606400e-05
3.981408e-01 	 6.614100e-05
3.991831e-01 	 6.611300e-05
4.002253e-01 	 6.596900e-05
4.012676e-01 	 6.572900e-05
4.023099e-01 	 6.543500e-05
4.033521e-01 	 6.521100e-05
4.043944e-01 	 6.498800e-05
4.054366e-01 	 6.481700e-05
4.064789e-01 	 6.475600e-05
4.075211e-01 	 6.478200e-05
4.085634e-01 	 6.492800e-05
4.096056e-01 	 6.515100e-05
4.106479e-01 	 6.546700e-05
4.116901e-01 	 6.575300e-05
4.127324e-01 	 6.599500e-05
4.137746e-01 	 6.611800e-05
4.148169e-01 	 6.613500e-05
4.158591e-01 	 6.606600e-05
4.169014e-01 	 6.594600e-05
4.179437e-01 	 6.564700e-05
4.189859e-01 	 6.534100e-05
4.200282e-01 	 6.508100e-05
4.210704e-01 	 6.486600e-05
4.221127e-01 	 6.474900e-05
4.231549e-01 	 6.469800e-05
4.241972e-01 	 6.476300e-05
4.252394e-01 	 6.492500e-05
4.262817e-01 	 6.517200e-05
4.273239e-01 	 6.547300e-05
4.283662e-01 	 6.578800e-05
4.294084e-01 	 6.598200e-05
4.304507e-01 	 6.616500e-05
4.314930e-01 	 6.614300e-05
4.325352e-01 	 6.605700e-05
4.335775e-01 	 6.584700e-05
4.346197e-01 	 6.557900e-05
4.356620e-01 	 6.536700e-05
4.367042e-01 	 6.514500e-05
4.377465e-01 	 6.500100e-05
4.387887e-01 	 6.485500e-05
4.398310e-01 	 6.488000e-05
4.408732e-01 	 6.499300e-05
4.419155e-01 	 6.520400e-05
4.429577e-01 	 6.545900e-05
4.440000e-01 	 6.572400e-05
4.450422e-01 	 6.600600e-05
4.460845e-01 	 6.616300e-05
4.471268e-01 	 6.617900e-05
4.481690e-01 	 6.611500e-05
4.492113e-01 	 6.596200e-05
4.502535e-01 	 6.571600e-05
4.512958e-01 	 6.545400e-05
4.523380e-01 	 6.522600e-05
4.533803e-01 	 6.504700e-05
4.544225e-01 	 6.494900e-05
4.554648e-01 	 6.495400e-05
4.565070e-01 	 6.502400e-05
4.575493e-01 	 6.514000e-05
4.585915e-01 	 6.531400e-05
4.596338e-01 	 6.547700e-05
4.606761e-01 	 6.571600e-05
4.617183e-01 	 6.585500e-05
4.627606e-01 	 6.589700e-05
4.638028e-01 	 6.585400e-05
4.648451e-01 	 6.572600e-05
4.658873e-01 	 6.549800e-05
4.669296e-01 	 6.532900e-05
4.679718e-01 	 6.514700e-05
4.690141e-01 	 6.502100e-05
4.700563e-01 	 6.491100e-05
4.710986e-01 	 6.488500e-05
4.721408e-01 	 6.494400e-05
4.731831e-01 	 6.507100e-05
4.742253e-01 	 6.524800e-05
4.752676e-01 	 6.541700e-05
4.763099e-01 	 6.560400e-05
4.773521e-01 	 6.567800e-05
4.783944e-01 	 6.569400e-05
4.794366e-01 	 6.566300e-05
4.804789e-01 	 6.562000e-05
4.815211e-01 	 6.547700e-05
4.825634e-01 	 6.534000e-05
4.836056e-01 	 6.520200e-05
4.846479e-01 	 6.507000e-05
4.856901e-01 	 6.496400e-05
4.867324e-01 	 6.494900e-05
4.877746e-01 	 6.497000e-05
4.888169e-01 	 6.504100e-05
4.898591e-01 	 6.508900e-05
4.909014e-01 	 6.520700e-05
4.919437e-01 	 6.532200e-05
4.929859e-01 	 6.546100e-05
4.940282e-01 	 6.550500e-05
4.950704e-01 	 6.552100e-05
4.961127e-01 	 6.551200e-05
4.971549e-01 	 6.543100e-05
4.981972e-01 	 6.534500e-05
4.992394e-01 	 6.526900e-05
5.002817e-01 	 6.518500e-05
5.013239e-01 	 6.512100e-05
5.023662e-01 	 6.508400e-05
5.034084e-01 	 6.505600e-05
5.044507e-01 	 6.509800e-05
5.054930e-01 	 6.509800e-05
5.065352e-01 	 6.520700e-05
5.075775e-01 	 6.535600e-05
5.086197e-01 	 6.545700e-05
5.096620e-01 	 6.551400e-05
5.107042e-01 	 6.553400e-05
