Freq (Hz)	Sonde/GEN_Mod	Sonde/GEN_Phase(rad)
258.000000000000060E+0	2.150403002315473E+0	30.463730332489341E+0
259.000000000000060E+0	2.364741329724357E+0	30.399150213243846E+0
260.000000000000060E+0	2.693467177798856E+0	30.352217435206771E+0
261.000000000000060E+0	3.039707692727381E+0	30.309917699081751E+0
262.000000000000060E+0	3.504337213087768E+0	30.222790376045548E+0
263.000000000000060E+0	4.042324797043167E+0	30.141830010231345E+0
264.000000000000060E+0	4.719202282831382E+0	30.051138958407400E+0
265.000000000000060E+0	5.544383271703491E+0	29.887823019896228E+0
266.000000000000060E+0	6.725231494088053E+0	29.700883330572331E+0
267.000000000000060E+0	8.059470773717855E+0	29.444004765508680E+0
268.000000000000060E+0	8.539230731919504E+0	29.091263514521732E+0
269.000000000000060E+0	8.509666951841170E+0	28.711074486511606E+0
270.000000000000060E+0	7.547746549876683E+0	28.414725836511092E+0
271.000000000000060E+0	6.265505462706872E+0	28.194617877953991E+0
272.000000000000060E+0	5.300111846341617E+0	28.020743582715934E+0
273.000000000000060E+0	4.483909958768633E+0	27.914242017849880E+0
274.000000000000060E+0	3.889510391511307E+0	27.831846199398534E+0
275.000000000000060E+0	3.493852224038199E+0	27.727461746410260E+0
276.000000000000060E+0	3.084871453183104E+0	27.696839551174246E+0
277.000000000000060E+0	2.726209030594031E+0	27.665851464287062E+0
278.000000000000060E+0	2.448750338213438E+0	27.600009332253041E+0
279.000000000000060E+0	2.328350164709999E+0	27.582264096849336E+0
280.000000000000060E+0	2.134337370730857E+0	27.538385014438113E+0
281.000000000000060E+0	1.969898917654607E+0	27.527477653765192E+0
282.000000000000060E+0	1.870464166274474E+0	27.514482943784770E+0
283.000000000000060E+0	1.748045281290675E+0	27.491462434188314E+0
284.000000000000060E+0	1.628896901101743E+0	27.433056317575677E+0
285.000000000000060E+0	1.608135718650984E+0	27.433087370956894E+0
286.000000000000060E+0	1.483161487200027E+0	27.426706368337605E+0
287.000000000000060E+0	1.409128829997056E+0	27.426462262759905E+0
288.000000000000060E+0	1.375820262839582E+0	27.361285125834449E+0
289.000000000000060E+0	1.300813868376934E+0	27.365039575534929E+0
290.000000000000060E+0	1.239497460582994E+0	27.343160933227480E+0
291.000000000000060E+0	1.218818037955782E+0	27.339452809728499E+0
292.000000000000060E+0	1.159086366545707E+0	27.342997810083496E+0
293.000000000000060E+0	1.109804358543612E+0	27.299807482069255E+0
294.000000000000060E+0	1.063542335879397E+0	27.257558091966128E+0
295.000000000000060E+0	1.056077249294573E+0	27.280100394284975E+0
296.000000000000060E+0	1.018269226627525E+0	27.275975140134879E+0
297.000000000000060E+0	977.797178949223470E-3	27.261663229828255E+0
298.000000000000060E+0	951.380920127039120E-3	27.238006861225603E+0
299.000000000000060E+0	895.765865158688940E-3	27.222487249176265E+0
300.000000000000060E+0	900.222565726704450E-3	27.214709073704213E+0
301.000000000000060E+0	901.633257765715230E-3	27.211439453907634E+0
302.000000000000060E+0	861.483093021212620E-3	27.218141473804561E+0
303.000000000000060E+0	821.252057191184770E-3	27.175144471070098E+0
304.000000000000060E+0	810.341978280629930E-3	27.164328830629742E+0
305.000000000000060E+0	798.880923295935410E-3	27.153477356624052E+0
306.000000000000060E+0	801.155004042631290E-3	27.154125286283772E+0
307.000000000000060E+0	780.399521688510790E-3	27.141832820668498E+0
308.000000000000060E+0	747.209198573909110E-3	27.120601884565936E+0
309.000000000000060E+0	735.817810847430480E-3	27.087714342147091E+0
310.000000000000060E+0	722.667081176734170E-3	27.071517259819572E+0
311.000000000000060E+0	724.303480287988740E-3	27.080811570229191E+0
312.000000000000060E+0	694.469825118321340E-3	27.066533538782995E+0
313.000000000000060E+0	669.399887776496280E-3	27.040546109767117E+0
314.000000000000060E+0	656.449665148557960E-3	27.035339462342403E+0
