Freq (Hz)	accelerometre /source_source_Mod	accelerometre /source_source_Phase(rad)
355.000000000000060E+0	252.749284623497770E-3	19.319679083896133E+0
356.000000000000060E+0	328.301823795664250E-3	18.896758279060489E+0
357.000000000000060E+0	303.867902906114260E-3	19.029140091620938E+0
358.000000000000060E+0	256.121040786332470E-3	18.655586511680195E+0
359.000000000000060E+0	337.269458059855530E-3	18.458894022611243E+0
360.000000000000060E+0	387.261814804411130E-3	18.355491106983560E+0
361.000000000000060E+0	573.104992734221880E-3	18.463464187583522E+0
362.000000000000060E+0	530.173551562843630E-3	18.451986579909732E+0
363.000000000000060E+0	575.567723410185360E-3	18.462512295352095E+0
364.000000000000060E+0	454.209902667977780E-3	18.266370992738871E+0
365.000000000000060E+0	545.692583781483330E-3	17.921486357871359E+0
366.000000000000060E+0	717.768736961105320E-3	17.676996387836340E+0
367.000000000000060E+0	833.997384013947410E-3	17.603653839280440E+0
368.000000000000060E+0	834.231879973343250E-3	17.448694137148834E+0
369.000000000000060E+0	864.957742028757190E-3	17.357487630883636E+0
370.000000000000060E+0	703.791063059656660E-3	17.224129406223138E+0
371.000000000000060E+0	573.802173177021310E-3	17.037854754325028E+0
372.000000000000060E+0	429.097377029907970E-3	16.842748826369103E+0
373.000000000000060E+0	266.942677517327980E-3	16.420189121494655E+0
374.000000000000060E+0	499.134705880235780E-3	16.143715472859530E+0
375.000000000000060E+0	436.158746420527770E-3	16.334862518413580E+0
376.000000000000060E+0	423.744496177330400E-3	16.404628290581563E+0
377.000000000000060E+0	381.468767231115170E-3	16.541012128267759E+0
378.000000000000060E+0	356.075671902254640E-3	16.707694587304712E+0
379.000000000000060E+0	363.195898820292850E-3	17.149383210275072E+0
380.000000000000060E+0	55.470933705578637E-3	17.304145297592893E+0
381.000000000000060E+0	103.583843362798520E-3	16.717419571240669E+0
382.000000000000060E+0	98.909790901350339E-3	16.270400245421339E+0
383.000000000000060E+0	183.518944290409600E-3	16.364426642598033E+0
384.000000000000060E+0	205.988968017300270E-3	16.457435400599195E+0
385.000000000000060E+0	239.938974167353850E-3	16.798104094925147E+0
386.000000000000060E+0	214.798944642941360E-3	16.985134989489342E+0
387.000000000000060E+0	152.392036784543470E-3	17.285574004501107E+0
388.000000000000060E+0	123.034215395440680E-3	16.958817301792706E+0
389.000000000000060E+0	110.424780504770030E-3	17.107027532165024E+0
390.000000000000060E+0	107.082744752310720E-3	16.693598773344174E+0
391.000000000000060E+0	140.505125907778140E-3	16.600779153181950E+0
392.000000000000060E+0	209.114407593818330E-3	16.606161211015685E+0
393.000000000000060E+0	263.212683194162190E-3	17.187457528026439E+0
394.000000000000060E+0	205.624478445327750E-3	17.196427593005783E+0
395.000000000000060E+0	205.712649320509750E-3	17.297666954886058E+0
396.000000000000060E+0	145.018092660261140E-3	17.229021634864395E+0
397.000000000000060E+0	133.228866947268350E-3	16.683308183140081E+0
398.000000000000060E+0	223.969702205502020E-3	16.201008078553169E+0
399.000000000000060E+0	306.478009492589350E-3	16.418173688423266E+0
400.000000000000060E+0	344.425501554958990E-3	16.346517740010395E+0
401.000000000000060E+0	405.515799723535020E-3	16.434337789554895E+0
402.000000000000060E+0	333.092621927872260E-3	16.660875901880892E+0
403.000000000000060E+0	58.452695983205197E-3	15.418897404268737E+0
404.000000000000060E+0	260.036803765336280E-3	14.920265717381147E+0
405.000000000000060E+0	404.223244689726920E-3	14.385046156436065E+0
406.000000000000060E+0	481.212553203123060E-3	14.616708285281318E+0
407.000000000000060E+0	462.060194517228180E-3	14.352745159213779E+0
408.000000000000060E+0	384.928986222662140E-3	14.892421140009542E+0
409.000000000000060E+0	119.212870966901220E-3	13.924001436962502E+0
410.000000000000060E+0	134.305203813059130E-3	12.822183580738500E+0
411.000000000000060E+0	265.520455419021470E-3	12.387056555111712E+0
412.000000000000060E+0	385.301551715638570E-3	12.660775454668922E+0
413.000000000000060E+0	394.443961023117070E-3	12.808516081644221E+0
414.000000000000060E+0	384.948779692568740E-3	12.986872652895572E+0
415.000000000000060E+0	284.229925776056320E-3	13.125822915778249E+0
416.000000000000060E+0	207.616732318380040E-3	12.945052130808055E+0
417.000000000000060E+0	137.845710299296740E-3	12.498011674862314E+0
418.000000000000060E+0	221.456397717136040E-3	11.903244638172872E+0
419.000000000000060E+0	345.661966823806680E-3	11.860238964142605E+0
420.000000000000060E+0	398.460995292580610E-3	11.931509963662213E+0
421.000000000000060E+0	608.093672575075850E-3	11.933528262164234E+0
422.000000000000060E+0	441.733766094838280E-3	12.334327443011331E+0
423.000000000000060E+0	377.200928868820450E-3	12.195770694747795E+0
424.000000000000060E+0	329.716796207093430E-3	12.079579162672303E+0
425.000000000000060E+0	343.249648854873190E-3	11.668719840810494E+0
426.000000000000060E+0	395.477472174305180E-3	11.329913085105437E+0
427.000000000000060E+0	677.476176620935510E-3	11.387305061232617E+0
