Freq (Hz)	accelerometre (V^2 )	source
source
source(V^2 )
323.000000000000110E+0	73.671496546708411E+0	165.981033841943800E+0
324.000000000000110E+0	63.482406125168744E+0	130.944680147180350E+0
325.000000000000110E+0	102.958543307271990E+0	246.109922233184220E+0
326.000000000000110E+0	96.632995653807100E+0	225.184585807756180E+0
327.000000000000110E+0	71.832261614122970E+0	197.630751297838460E+0
328.000000000000110E+0	59.888365920468153E+0	143.937653704573820E+0
329.000000000000110E+0	29.552582156864055E+0	101.616235544818720E+0
330.000000000000110E+0	141.489195913965970E+0	413.668958464244780E+0
331.000000000000110E+0	83.552002261716240E+0	211.935730737721540E+0
332.000000000000110E+0	47.106638903568964E+0	96.174150495684827E+0
333.000000000000110E+0	53.226195757461610E+0	165.308075003928910E+0
334.000000000000110E+0	65.338949700211430E+0	222.502982615434350E+0
335.000000000000110E+0	53.318678997136701E+0	172.151987895315590E+0
336.000000000000110E+0	87.592174557516927E+0	270.911617340238650E+0
337.000000000000110E+0	43.677945879053709E+0	131.583499011027670E+0
338.000000000000110E+0	40.796583957196354E+0	102.655802165630580E+0
339.000000000000110E+0	137.683732604576020E+0	308.229556058852840E+0
340.000000000000110E+0	129.598988210714850E+0	266.554016095955490E+0
341.000000000000110E+0	78.713845438554145E+0	159.908977982115940E+0
342.000000000000110E+0	54.199449014652281E+0	104.556267120319290E+0
343.000000000000110E+0	115.445019202968570E+0	215.021319747282800E+0
344.000000000000110E+0	163.639995883336010E+0	320.718542868305180E+0
345.000000000000110E+0	94.406796563660848E+0	155.256682918003040E+0
346.000000000000110E+0	155.465171967608850E+0	229.284746866815250E+0
347.000000000000110E+0	83.542618026065696E+0	112.686177243311680E+0
348.000000000000110E+0	155.554172083298970E+0	203.691922793040500E+0
349.000000000000110E+0	281.636029470714790E+0	436.983361685514240E+0
350.000000000000110E+0	97.222524523003898E+0	172.501456780554150E+0
351.000000000000110E+0	45.626969162430939E+0	94.044796571536750E+0
352.000000000000110E+0	62.487556588948983E+0	167.644894041205250E+0
353.000000000000110E+0	75.005966936619416E+0	230.415736694694940E+0
354.000000000000110E+0	55.421246887455950E+0	218.347430471972360E+0
355.000000000000110E+0	32.321394555850681E+0	160.732341158745750E+0
356.000000000000110E+0	24.096381409880330E+0	114.504978513594470E+0
357.000000000000110E+0	31.622919864577000E+0	155.018490783370680E+0
358.000000000000110E+0	39.652299076029301E+0	243.288398375507370E+0
359.000000000000110E+0	34.600317441747222E+0	241.664319472933040E+0
360.000000000000110E+0	26.452168569682271E+0	152.223425742156280E+0
361.000000000000110E+0	17.857430852284740E+0	69.417689696260638E+0
362.000000000000110E+0	71.091802857597685E+0	348.694374718256880E+0
363.000000000000110E+0	43.833355726231687E+0	203.651545752158540E+0
364.000000000000110E+0	35.720362460802107E+0	154.338885055886550E+0
365.000000000000110E+0	39.454455812515370E+0	169.965849095575610E+0
366.000000000000110E+0	25.429506773604167E+0	102.944730376425060E+0
367.000000000000110E+0	48.693011319202426E+0	220.917661969115980E+0
368.000000000000110E+0	60.918349722666711E+0	303.590104401565270E+0
369.000000000000110E+0	22.439541245523220E+0	121.222459199971330E+0
370.000000000000110E+0	15.105870883960700E+0	112.278384232623280E+0
371.000000000000110E+0	23.694147070216310E+0	176.063403215991540E+0
372.000000000000110E+0	42.087167843658335E+0	322.750496254114750E+0
373.000000000000110E+0	19.082499460666529E+0	204.188905653950170E+0
374.000000000000110E+0	11.396338746469514E+0	111.564600628996690E+0
375.000000000000110E+0	15.073671554827863E+0	160.267839905712290E+0
376.000000000000110E+0	16.078007436895732E+0	191.027422076808190E+0
377.000000000000110E+0	14.356187028878590E+0	241.265490671224090E+0
378.000000000000110E+0	11.264823744080035E+0	285.753783655355110E+0
379.000000000000110E+0	2.024981032089155E+0	107.069134098476720E+0
380.000000000000110E+0	9.681778978506575E+0	171.273273727388780E+0
381.000000000000110E+0	24.274994546014447E+0	427.737857442591010E+0
382.000000000000110E+0	16.088824895364393E+0	195.735343587446830E+0
383.000000000000110E+0	17.780984984290857E+0	176.857370908619320E+0
384.000000000000110E+0	14.027947941494762E+0	135.693690890899630E+0
385.000000000000110E+0	4.402800068611256E+0	211.445266952899910E+0
386.000000000000110E+0	4.110573535230240E+0	345.193104119937400E+0
387.000000000000110E+0	1.896157164519189E+0	205.852252093190660E+0
388.000000000000110E+0	4.630115773907664E+0	203.322354491668700E+0
389.000000000000110E+0	4.825029241038011E+0	93.035189077759099E+0
390.000000000000110E+0	21.217372409234184E+0	289.918621710141390E+0
391.000000000000110E+0	30.055412359450617E+0	409.718163288714830E+0
392.000000000000110E+0	16.611765332155624E+0	173.190455800120820E+0
393.000000000000110E+0	1.152839978428044E+0	112.318238237368930E+0
394.000000000000110E+0	1.839889674743309E+0	257.847870284209020E+0
395.000000000000110E+0	8.406051664766403E+0	213.679500181473940E+0
396.000000000000110E+0	21.850641904986812E+0	342.069220890514200E+0
397.000000000000110E+0	18.309451737738229E+0	213.883698609248770E+0
398.000000000000110E+0	11.975256684605254E+0	87.583885338663123E+0
399.000000000000110E+0	2.733062205280744E+0	241.099955109942530E+0
400.000000000000110E+0	870.599007075182900E-3	346.312071508079380E+0
401.000000000000110E+0	4.033454892937877E+0	210.982420886935640E+0
402.000000000000110E+0	4.163355823866739E+0	136.213213628395860E+0
403.000000000000110E+0	5.754108445839221E+0	91.960852694573106E+0
404.000000000000110E+0	6.415080745863325E+0	345.917053441244830E+0
405.000000000000110E+0	1.873518235089425E+0	185.706901196638850E+0
406.000000000000110E+0	147.151222375069110E-3	193.907414044739600E+0
407.000000000000110E+0	195.344165161674970E-3	167.489733330142230E+0
408.000000000000110E+0	1.257477364103284E+0	81.815361083642429E+0
409.000000000000110E+0	5.704704331331976E+0	366.530346476423800E+0
410.000000000000110E+0	4.081124527296777E+0	284.175960530135110E+0
411.000000000000110E+0	4.270450573794063E+0	97.024271660785530E+0
412.000000000000110E+0	3.712677096909039E+0	109.108343398252940E+0
